"Handwheel Diameter 
mm (in)","Maximum Allowable 
Torque to Open and 
Operate Valve 
N·m (ft·lbf)","Handwheel Diameter 
mm (in)","Maximum Allowable 
Torque  to Open  and 
Operate  Valve 
N·m (ft·lbf)"
"50 (2)","4 (3)","300 (12)","27 (20)"
"75 (3)","7 (5)","350 (14)","31 (23)"
"100 (4)","10 (7)","400 (16)","37 (27)"
"125 (5)","11 (8)","450 (18)","41 (30)"
"150 (6)","14 (10)","525 (21)","48 (35)"
"175 (7)","16 (12)","600 (24)","54 (40)"
"200 (8)","18 (13)","675 (27)","61 (45)"
"225 (9)","20 (15)","750 (30)","68 (50)"
"250 (10)","23 (17)","900 (36)","82 (60)"
"275 (11)","24 (18)","--","--"
